Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,63.740002,65.879997,63.549999,65.110001,56.301273,3124300
2015-05-04,65.160004,66.330002,64.010002,65.860001,56.949795,2309400
2015-05-11,66.019997,66.860001,65.610001,66.139999,57.191944,2452800
2015-05-18,65.720001,66.580002,65.059998,65.980003,57.053574,2635100
2015-05-25,65.769997,65.769997,63.349998,63.799999,55.168503,1914600
2015-06-01,63.630001,66.419998,62.930000,64.900002,56.468578,2471000
2015-06-08,64.900002,65.279999,63.619999,64.080002,55.755108,1664300
2015-06-15,63.509998,64.320000,62.619999,63.520000,55.267864,2526900
2015-06-22,63.759998,64.550003,63.119999,63.919998,55.615898,2463900
2015-06-29,62.959999,63.720001,60.220001,60.830002,52.927322,1962700
2015-07-06,60.000000,60.970001,58.340000,59.590000,51.848415,2806500
2015-07-13,60.240002,61.380001,59.000000,59.349998,51.639599,2743900
2015-07-20,59.290001,61.070000,56.900002,60.070000,52.266064,7392800
2015-07-27,59.509998,62.119999,59.020000,60.599998,52.727203,3619200
2015-08-03,60.360001,62.840000,59.360001,61.279999,53.318863,2673100
2015-08-10,61.570000,62.779999,58.490002,61.230000,53.275364,3048500
2015-08-17,60.900002,62.060001,56.619999,56.639999,49.604511,2518200
2015-08-24,54.279999,58.689999,53.380001,57.770000,50.594143,3716400
2015-08-31,57.139999,59.439999,55.750000,55.840000,48.903873,2959500
2015-09-07,61.049999,61.049999,57.080002,58.090000,50.874393,2367200
2015-09-14,57.830002,58.360001,55.459999,56.279999,49.289223,3675700
2015-09-21,56.380001,56.540001,53.240002,54.919998,48.098160,4349000
2015-09-28,54.209999,55.720001,53.259998,55.720001,48.798786,5190400
2015-10-05,56.529999,58.490002,55.270000,57.570000,50.418983,4566300
2015-10-12,57.930000,59.540001,56.740002,58.279999,51.040791,3204100
2015-10-19,58.099998,61.750000,55.689999,60.730000,53.186481,4212400
2015-10-26,60.590000,60.849998,58.689999,59.959999,52.512123,2371300
2015-11-02,59.990002,61.740002,58.250000,59.490002,52.100506,2289000
2015-11-09,59.389999,59.849998,56.720001,57.320000,50.200043,1916100
2015-11-16,57.240002,59.470001,56.700001,58.189999,50.961975,2005100
2015-11-23,58.320000,59.380001,56.950001,58.599998,51.684898,1155700
2015-11-30,58.509998,60.000000,58.000000,58.509998,51.605518,1797100
2015-12-07,57.919998,59.000000,55.000000,56.840000,50.132584,2688000
2015-12-14,56.610001,57.169998,55.380001,56.000000,49.391712,3303800
2015-12-21,56.520000,59.830002,56.509998,58.790001,51.852486,1520700
2015-12-28,58.250000,59.060001,57.400002,57.910000,51.076321,1230300
2016-01-04,57.150002,58.919998,53.730000,53.799999,47.451328,2982800
2016-01-11,54.279999,55.220001,51.669998,52.480000,46.287083,2716000
2016-01-18,53.450001,53.990002,50.080002,53.730000,47.389584,3005100
2016-01-25,53.380001,57.040001,52.080002,56.939999,50.220787,3294300
2016-02-01,56.660000,59.930000,55.410000,57.650002,50.847004,2784300
2016-02-08,57.000000,58.930000,55.639999,58.860001,51.914223,2502200
2016-02-15,59.450001,61.000000,58.310001,59.450001,52.434597,3617400
2016-02-22,60.220001,61.310001,58.060001,60.340000,53.219578,2561000
2016-02-29,60.529999,66.809998,60.070000,63.959999,56.412407,4549300
2016-03-07,64.330002,67.529999,63.520000,67.080002,59.164207,3545200
2016-03-14,66.430000,71.339996,65.879997,70.260002,62.354877,3593000
2016-03-21,69.540001,69.889999,66.860001,68.339996,60.650906,2214200
2016-03-28,68.690002,70.830002,67.730003,70.290001,62.381512,2642000
2016-04-04,70.279999,70.669998,67.570000,69.470001,61.653759,3289800
2016-04-11,69.989998,73.370003,68.849998,72.989998,64.777718,3893200
2016-04-18,72.500000,74.190002,71.349998,71.790001,63.712727,5472300
2016-04-25,71.400002,74.669998,70.720001,73.970001,65.647453,4881100
